SqrtAGBgrowth,ecm_l_Richness,ecm_l_Abundance,pat_l_Richness,pat_l_Abundance,sap_l_Richness,sap_l_Abundance,ecm_r_Richness,ecm_r_Abundance,pat_r_Richness,pat_r_Abundance,sap_r_Richness,sap_r_Abundance,ecm_s_Richness,ecm_s_Abundance,pat_s_Richness,pat_s_Abundance,sap_s_Richness,sap_s_Abundance
65.18800005,6,9,31,1609,99,574,61,3206,2,18,28,224,56,1047,22,72,139,3578
61.67493892,5,6,38,384,84,1143,34,432,9,31,142,2253,52,2049,19,34,99,3274
39.2304704,3,3,15,93,65,3979,30,4861,3,3,44,245,52,4695,10,27,67,921
93.95432128,11,47,48,1518,112,839,37,798,4,5,66,1593,26,1745,4,61,81,3213
32.73399045,9,12,26,110,92,4419,22,1571,5,11,56,3058,60,803,7,32,113,4608
68.44770539,14,31,31,571,106,1024,25,1094,7,26,51,624,59,3840,3,34,67,1716
80.04469193,11,58,59,1082,156,1144,53,4737,3,3,21,55,63,4345,4,4,48,1489
143.7534112,40,125,26,198,131,2008,102,1551,13,323,68,569,72,1204,20,388,174,2880
133.0271132,8,49,30,3116,80,522,54,5540,6,19,23,69,74,4543,4,190,49,1133
31.28049533,10,22,29,134,66,733,45,1528,4,5,24,104,32,4414,12,32,92,1185
89.8595126,41,691,32,2225,72,260,74,656,9,15,36,259,22,1858,5,44,134,3366
43.2754206,11,67,51,404,120,3323,44,1578,3,3,26,164,102,1397,18,40,119,2766
145.0900582,11,39,31,392,70,2196,36,4877,3,5,25,753,51,4778,6,17,68,977
140.8793012,60,398,49,466,124,811,60,2036,9,620,50,1090,70,5360,5,24,56,402
75.36030999,13,32,40,1182,113,2613,49,668,2,6,36,561,82,2729,9,28,88,2514
71.71056058,26,69,30,560,87,559,39,3582,1,18,38,518,56,2022,6,14,91,3255
32.05201599,15,33,36,448,114,1222,78,2902,7,223,52,501,47,1632,17,57,124,2563
113.8781275,6,11,33,268,94,635,58,2901,3,18,52,1013,59,4778,4,12,76,893
118.334185,11,19,41,1277,102,1355,54,3037,4,88,39,248,66,4842,6,44,57,911
70.56035407,5,6,15,69,50,5684,54,1141,4,8,45,435,60,1343,7,8,72,3356
127.5679678,8,16,32,2585,77,614,61,4107,3,19,26,95,92,2942,17,249,104,2143
25.06618216,39,302,51,1174,147,903,39,2138,8,16,36,514,73,4343,11,19,74,1238
91.25221447,27,104,46,840,118,1595,54,2104,5,20,47,780,30,923,5,11,83,3062
8.39342562,63,1158,35,525,101,831,32,618,1,5,52,1703,37,991,8,11,115,4168
29.73648849,42,1042,35,2516,85,702,43,2250,14,945,60,771,76,3915,2,6,59,961
105.4904797,50,695,37,959,105,606,45,1694,8,12,56,3328,73,5112,2,2,67,613
92.09608787,34,227,51,1192,146,983,69,3107,9,31,48,746,56,5207,3,7,50,407
36.28105253,19,48,33,158,74,4848,50,1940,5,14,30,1029,35,3918,2,4,61,1355
73.14452729,38,245,55,1011,146,1041,54,2476,5,57,39,1691,39,1814,7,27,95,2361
72.30110683,45,1641,31,1383,76,895,57,1875,4,12,55,2951,73,4660,1,1,56,509
58.58396674,25,117,42,828,124,2219,15,737,5,9,20,494,55,5477,2,3,38,124
51.59235757,33,126,26,3271,88,801,37,382,1,4,37,4320,55,2707,7,12,80,2337
57.41540488,4,22,28,526,75,4375,37,3240,5,7,31,256,89,4280,6,13,60,1090
55.42735724,32,766,19,140,68,340,59,3865,5,5,23,190,51,2097,13,30,105,2522
54.03595638,30,394,14,48,43,5213,71,5233,3,4,25,358,30,1239,7,27,79,3997
119.4745963,13,69,40,1628,101,1797,52,4484,5,13,23,89,28,4683,1,1,60,684
23.23981644,16,547,28,463,85,901,39,5664,1,1,18,49,34,4007,4,4,51,782
67.66823289,5,6,20,572,48,4664,45,1142,7,118,58,1266,42,1332,10,44,80,3292
